"sample_id","review_group","mapping_checked","visual_review_status","annotation_issue","notes"
"winoground-000000","both_directions_incorrect","","","",""
"winoground-000001","both_directions_incorrect","","","",""
"winoground-000002","image_to_text_only","","","",""
"winoground-000003","both_directions_incorrect","","","",""
"winoground-000004","both_directions_incorrect","","","",""
"winoground-000005","text_to_image_only","","","",""
"winoground-000006","both_directions_incorrect","","","",""
"winoground-000007","group_correct","","","",""
"winoground-000008","image_to_text_only","","","",""
"winoground-000009","image_to_text_only","","","",""
"winoground-000010","both_directions_incorrect","","","",""
"winoground-000011","image_to_text_only","","","",""
"winoground-000012","both_directions_incorrect","","","",""
"winoground-000013","both_directions_incorrect","","","",""
"winoground-000014","both_directions_incorrect","","","",""
"winoground-000015","image_to_text_only","","","",""
"winoground-000016","both_directions_incorrect","","","",""
"winoground-000017","image_to_text_only","","","",""
"winoground-000018","both_directions_incorrect","","","",""
"winoground-000019","group_correct","","","",""
"winoground-000020","both_directions_incorrect","","","",""
"winoground-000021","both_directions_incorrect","","","",""
"winoground-000022","both_directions_incorrect","","","",""
"winoground-000023","both_directions_incorrect","","","",""
"winoground-000024","image_to_text_only","","","",""
"winoground-000025","both_directions_incorrect","","","",""
"winoground-000026","both_directions_incorrect","","","",""
"winoground-000027","text_to_image_only","","","",""
"winoground-000028","both_directions_incorrect","","","",""
"winoground-000029","group_correct","","","",""
"winoground-000030","image_to_text_only","","","",""
"winoground-000031","both_directions_incorrect","","","",""
"winoground-000032","image_to_text_only","","","",""
"winoground-000033","image_to_text_only","","","",""
"winoground-000034","both_directions_incorrect","","","",""
"winoground-000035","both_directions_incorrect","","","",""
"winoground-000036","image_to_text_only","","","",""
"winoground-000037","image_to_text_only","","","",""
"winoground-000038","both_directions_incorrect","","","",""
"winoground-000039","both_directions_incorrect","","","",""
"winoground-000040","image_to_text_only","","","",""
"winoground-000041","both_directions_incorrect","","","",""
"winoground-000042","image_to_text_only","","","",""
"winoground-000043","both_directions_incorrect","","","",""
"winoground-000044","both_directions_incorrect","","","",""
"winoground-000045","group_correct","","","",""
"winoground-000046","both_directions_incorrect","","","",""
"winoground-000047","both_directions_incorrect","","","",""
"winoground-000048","both_directions_incorrect","","","",""
"winoground-000049","image_to_text_only","","","",""
"winoground-000050","both_directions_incorrect","","","",""
"winoground-000051","both_directions_incorrect","","","",""
"winoground-000052","image_to_text_only","","","",""
"winoground-000053","both_directions_incorrect","","","",""
"winoground-000054","both_directions_incorrect","","","",""
"winoground-000055","group_correct","","","",""
"winoground-000056","both_directions_incorrect","","","",""
"winoground-000057","both_directions_incorrect","","","",""
"winoground-000058","both_directions_incorrect","","","",""
"winoground-000059","both_directions_incorrect","","","",""
"winoground-000060","both_directions_incorrect","","","",""
"winoground-000061","image_to_text_only","","","",""
"winoground-000062","both_directions_incorrect","","","",""
"winoground-000063","both_directions_incorrect","","","",""
"winoground-000064","both_directions_incorrect","","","",""
"winoground-000065","both_directions_incorrect","","","",""
"winoground-000066","both_directions_incorrect","","","",""
"winoground-000067","both_directions_incorrect","","","",""
"winoground-000068","both_directions_incorrect","","","",""
"winoground-000069","image_to_text_only","","","",""
"winoground-000070","both_directions_incorrect","","","",""
"winoground-000071","image_to_text_only","","","",""
"winoground-000072","group_correct","","","",""
"winoground-000073","group_correct","","","",""
"winoground-000074","group_correct","","","",""
"winoground-000075","both_directions_incorrect","","","",""
"winoground-000076","both_directions_incorrect","","","",""
"winoground-000077","both_directions_incorrect","","","",""
"winoground-000078","both_directions_incorrect","","","",""
"winoground-000079","image_to_text_only","","","",""
